25505;#doc=party.2.txt;;;;;;;;;;;;;;
25506;1;За;ЗА;PR;;;а;з;;;;;PR;ЗА;PR
25507;2;кадром;КАДР;S m inan ins sg;;;м;о;р;д;а;к;S;КАДР;S m inan ins sg
25508;3;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
25509;4;Как;КАК;CONJ;;;к;а;к;;;;CONJ;КАК;CONJ
25510;5;прошел;ПРОЙТИ;V pf praet sg indic m -;;;л;е;ш;о;р;п;V;ПРОЙТИ;V pf praet sg indic m -
25511;6;твой;ТВОЙ;APRO - nom sg plen m -;;;й;о;в;т;;;A;ТВОЙ;A - nom sg plen m -
25512;7;посвят;ПОСВЯТ;S m inan nom sg;;;т;я;в;с;о;п;S;ПОСВЯТ;S m anim nom sg
25513;8;?;?;SENT;;;;;;;;;SENT;?;SENT
25514;;;;;;;;;;;;;;;
25515;1;Наташа;НАТАША;S f anim nom sg;;;а;ш;а;т;а;н;S;НАТАША;S f anim nom sg
25516;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
25517;3;Ээ;ЭЭ;INTJ;;;э;э;;;;;NONLEX;ЭЭ;NONLEX
25518;4;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
25519;5;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
25520;6;прошел;ПРОЙТИ;V pf praet sg indic m -;;;л;е;ш;о;р;п;V;ПРОЙТИ;V pf praet sg indic m -
25521;7;классно;КЛАССНО;ADV -;;;о;н;с;с;а;л;ADV;КЛАССНО;ADV -
25522;8;.;.;SENT;;;;;;;;;SENT;.;SENT
25523;;;;;;;;;;;;;;;
25524;1;В;В;PR;;;в;;;;;;PR;В;PR
25525;2;общем;ОБЩИЙ;S n inan loc sg;;;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -
25526;3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25527;4;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
25528;5;с;С;PR;;;с;;;;;;PR;С;PR
25529;6;логистики;ЛОГИСТИКА;S f inan gen sg;;;и;к;и;т;с;и;S;ЛОГИСТИКА;S f inan gen sg
25530;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25531;8;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
25532;9;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
25533;10;проходил;ПРОХОДИТЬ;V ipf praet sg indic m -;;;л;и;д;о;х;о;V;ПРОХОДИТЬ;V ipf praet sg indic m -
25534;11;в;В;PR;;;в;;;;;;PR;В;PR
25535;12;пансионате;ПАНСИОНАТ;S m inan loc sg;;;е;т;а;н;о;и;S;ПАНСИОНАТ;S m inan loc sg
25536;13;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
25537;14;Искорка;ИСКОРКА;S f inan nom sg;;;а;к;р;о;к;с;S;ИСКОРКА;S f inan nom sg
25538;15;»;»;PUNC;;;;;;;;;PUNC;»;PUNC
25539;16;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25540;17;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
25541;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25542;19;в;В;PR;;;в;;;;;;PR;В;PR
25543;20;общем;ОБЩИЙ;S n inan loc sg;;;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -
25544;21;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25545;22;ехали;ЕХАТЬ;V ipf praet pl indic - -;;;и;л;а;х;е;;V;ЕХАТЬ;V ipf praet pl indic - -
25546;23;до;ДО;PR;;;о;д;;;;;PR;ДО;PR
25547;24;метро;МЕТРО;S n inan nonflex nonflex;;;о;р;т;е;м;;S;МЕТРО;S n inan nonflex nonflex
25548;25;Саларьево;САЛАРЬЕВО;S n inan gen sg;;;о;в;е;ь;р;а;S;САЛАРЬЕВО;S n inan acc sg
25549;26;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25550;27;конец;КОНЕЦ;S m inan nom sg;;;ц;е;н;о;к;;S;КОНЕЦ;S m inan nom sg
25551;28;красной;КРАСНЫЙ;A - gen sg plen f -;;;й;о;н;с;а;р;A;КРАСНЫЙ;A - gen sg plen f -
25552;29;ветки;ВЕТКА;S f inan gen sg;;;и;к;т;е;в;;S;ВЕТКА;S f inan gen sg
25553;30;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25554;31;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
25555;32;потом;ПОТОМ;ADV -;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
25556;33;нас;МЫ;SPRO pl 1p - loc;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
25557;34;везли;ВЕЗТИ;V ipf praet pl indic - -;;;и;л;з;е;в;;V;ВЕЗТИ;V ipf praet pl indic - -
25558;35;на;НА;PR;;;а;н;;;;;PR;НА;PR
25559;36;автобусе;АВТОБУС;S m inan loc sg;;;е;с;у;б;о;т;S;АВТОБУС;S m inan loc sg
25560;37;еще;ЕЩЕ;ADV -;;;е;щ;е;;;;ADV;ЕЩЕ;ADV -
25561;38;минут;МИНУТА;S f inan gen pl;;;т;у;н;и;м;;S;МИНУТА;S f inan gen pl
25562;39;тридцать;ТРИДЦАТЬ;NUM acc - -;;;ь;т;а;ц;д;и;NUM;ТРИДЦАТЬ;NUM acc - -
25563;40;.;.;SENT;;;;;;;;;SENT;.;SENT
25564;;;;;;;;;;;;;;;
25565;1;Э;Э;INTJ;;;э;;;;;;INTJ;Э;INTJ
25566;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25567;3;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
25568;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25569;5;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
25570;6;это;ЭТО;SPRO n  inan nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
25571;7;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
25572;8;самое;САМЫЙ;A - nom sg plen n -;;;е;о;м;а;с;;A;САМЫЙ;A - nom sg plen n -
25573;9;главное;ГЛАВНОЕ;S n inan nom sg;;;е;о;н;в;а;л;S;ГЛАВНОЕ;S n inan nom sg
25574;10;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
25575;11;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
25576;12;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
25577;13;span;SPAN;NONLEX;;;;;;;;;NONLEX;SPAN;NONLEX
25578;14;class;CLASS;NONLEX;;;;;;;;;NONLEX;CLASS;NONLEX
25579;15;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
25580;16;”;”;PUNC;;;;;;;;;PUNC;”;PUNC
25581;17;note;NOTE;NONLEX;;;;;;;;;NONLEX;NOTE;NONLEX
25582;18;”;”;PUNC;;;;;;;;;PUNC;”;PUNC
25583;19;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
25584;20;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
25585;21;";";";";SENT;;;;;;;;;SENT;";";SENT
25586;;;;;;;;;;;;;;;
25587;1;Смех;СМЕХ;S m inan nom sg;;;х;е;м;с;;;S;СМЕХ;S m inan nom sg
25588;2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
25589;3;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
25590;4;";";";";SENT;;;;;;;;;SENT;";";SENT
25591;;;;;;;;;;;;;;;
25592;1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
25593;2;span;SPAN;NONLEX;;;;;;;;;NONLEX;SPAN;NONLEX
25594;3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
25595;4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
25596;5;";";";";SENT;;;;;;;;;SENT;";";SENT
25597;;;;;;;;;;;;;;;
25598;1;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25599;2;самое;САМЫЙ;A - nom sg plen n -;;;е;о;м;а;с;;A;САМЫЙ;A - nom sg plen n -
25600;3;главное;ГЛАВНОЕ;S n inan nom sg;;;е;о;н;в;а;л;S;ГЛАВНОЕ;S n inan nom sg
25601;4;то;ТО;SPRO n  inan nom sg;;;о;т;;;;;CONJ;ТО;CONJ
25602;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25603;6;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
25604;7;мне;Я;SPRO sg 1p - loc;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
25605;8;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
25606;9;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
25607;10;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
25608;11;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
25609;12;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
25610;13;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
25611;14;”;”;PUNC;;;;;;;;;PUNC;”;PUNC
25612;15;оч;ОЧ;NONLEX;distort;;ч;о;;;;;NONLEX;ОЧ;NONLEX
25613;16;”;”;PUNC;;;;;;;;;PUNC;”;PUNC
25614;17;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
25615;18;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
25616;19;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
25617;20;очень;ОЧЕНЬ;ADV -;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
25618;21;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
25619;22;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
25620;23;";";";";SENT;;;;;;;;;SENT;";";SENT
25621;;;;;;;;;;;;;;;
25622;1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
25623;2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
25624;3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
25625;4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
25626;5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
25627;6;понравилось;ПОНРАВИТЬСЯ;V pf praet sg indic n -;;;ь;с;о;л;и;в;V;ПОНРАВИТЬСЯ;V pf praet sg indic n -
25628;7;–;–;PUNC;;;;;;;;;PUNC;–;PUNC
25629;8;в;В;PR;;;в;;;;;;PR;В;PR
25630;9;принципе;ПРИНЦИП;S m inan loc sg;;;е;п;и;ц;н;и;S;ПРИНЦИП;S m inan loc sg
25631;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25632;11;всем;ВСЕ;SPRO dat pl;;;м;е;с;в;;;S;ВСЕ;S - - dat pl
25633;12;очень;ОЧЕНЬ;ADV -;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
25634;13;понравилось;ПОНРАВИТЬСЯ;V pf praet sg indic n -;;;ь;с;о;л;и;в;V;ПОНРАВИТЬСЯ;V pf praet sg indic n -
25635;14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25636;15;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
25637;16;реально;РЕАЛЬНО;ADV -;;;о;н;ь;л;а;е;ADV;РЕАЛЬНО;ADV -
25638;17;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
25639;18;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
25640;19;понимаю;ПОНИМАТЬ;V ipf praes sg indic - 1p;;;ю;а;м;и;н;о;V;ПОНИМАТЬ;V ipf praes sg indic - 1p
25641;20;ребят;РЕБЯТА;S - anim acc pl;;;т;я;б;е;р;;S;РЕБЯТА;S - anim gen pl
25642;21;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25643;22;которые;КОТОРЫЙ;A - nom pl plen - -;;;е;ы;р;о;т;о;A;КОТОРЫЙ;A - nom pl plen - -
25644;23;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
25645;24;поехали;ПОЕХАТЬ;V pf praet pl indic - -;;;и;л;а;х;е;о;V;ПОЕХАТЬ;V pf praet pl indic - -
25646;25;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
25647;26;у;У;PR;;;у;;;;;;PR;У;PR
25648;27;нас;МЫ;SPRO pl 1p - loc;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
25649;28;из;ИЗ;PR;;;з;и;;;;;PR;ИЗ;PR
